LGA_name,LGA_rate,offence_count,offence_subdiv,year
Hobsons Bay,16.10967312,15,D20 Disorderly and offensive conduct,2023
Hobsons Bay,23.627520576,22,D20 Disorderly and offensive conduct,2023
Hobsons Bay,2.147956416,2,D20 Disorderly and offensive conduct,2023
Hobsons Bay,2.147956416,2,D30 Public nuisance offences,2023
Hobsons Bay,1.073978208,1,D30 Public nuisance offences,2023
Hobsons Bay,60.142779649,56,D30 Public nuisance offences,2023
Hobsons Bay,45.107084737,42,E20 Breaches of orders,2023
Hobsons Bay,1.073978208,1,F30 Other government regulatory offences,2023
Hobsons Bay,5.446445105,5,A10 Homicide and related offences,2022
Hobsons Bay,154.67904099,142,A20 Assault and related offences,2022
Hobsons Bay,131.803971548,121,A30 Sexual offences,2022
Hobsons Bay,3.267867063,3,A40 Abduction and related offences,2022
Hobsons Bay,15.250046295,14,A50 Robbery,2022
Hobsons Bay,15.250046295,14,"A70 Stalking, harassment and threatening behaviour",2022
Hobsons Bay,8.714312168,8,"A70 Stalking, harassment and threatening behaviour",2022
Hobsons Bay,40.303693779,37,"A70 Stalking, harassment and threatening behaviour",2022
Hobsons Bay,13.071468253,12,A80 Dangerous and negligent acts endangering people,2022
Hobsons Bay,212.411359106,195,B30 Burglary/Break and enter,2022
Hobsons Bay,2.178578042,2,B30 Burglary/Break and enter,2022
Hobsons Bay,205.87562498,189,B40 Theft,2022
Hobsons Bay,84.964543642,78,B40 Theft,2022
Hobsons Bay,218.947093232,201,B50 Deception,2022
Hobsons Bay,1.089289021,1,C30 Drug use and possession,2022
Hobsons Bay,143.786150779,132,D10 Weapons and explosives offences,2022
Hobsons Bay,3.267867063,3,D20 Disorderly and offensive conduct,2022
Hobsons Bay,123.089659379,113,E10 Justice procedures,2022
Hobsons Bay,3.267867063,3,E10 Justice procedures,2022
Hobsons Bay,7.625023147,7,E10 Justice procedures,2022
Hobsons Bay,413.929828001,380,E20 Breaches of orders,2022
Hobsons Bay,47.928716926,44,E20 Breaches of orders,2022
Hobsons Bay,3.267867063,3,E20 Breaches of orders,2022
Hobsons Bay,3.267867063,3,F20 Transport regulation offences,2022
